abo subject to optimization,cost to serve,cost of good,cost of warehouse,cost of carrier incl penalty,cost of penalty,CG of CTS,CW of CTS,CC of CTS,model gen time,model opt time,total parcels shipped,levelized parcel value,w_T,w_O,w_R,c_T,c_O,c_R,N_T,N_O,N_R,rel warehouse savings vs 80 [%],rel carrier savings vs 80 [%]
80.0,0.96,0.7275,0.103125,0.129375,3.5,75.78125000000001,10.7421875,13.4765625,0.02066433290019631,0.01195474993437529,1.0,76.8,0.635,0.912,1.3,1.5,2.45,10.7,18.0,4.0,2.0,0.0,0.0
100.0,0.9762000000000001,0.7885,0.0825,0.1052,3.5,80.77238270846138,8.451137062077443,10.77648022946118,0.01048820791766047,0.008619458181783557,1.0,97.62,0.635,0.912,1.3,1.5,2.45,10.7,23.0,5.0,3.0,19.999999999999996,18.68599033816425
120.0,0.8861666666666668,0.7274999999999999,0.06875,0.08991666666666666,3.5,82.09516644724467,7.758134286251646,10.14669926650367,0.01133433310315013,0.01278304192237556,1.0,106.34,0.635,0.912,1.3,1.5,2.45,10.7,27.0,6.0,3.0,33.33333333333333,30.499194847020938
140.0,0.9572142857142858,0.7710714285714285,0.07928571428571429,0.1068571428571429,3.5,80.55369002313259,8.282963957913589,11.16334601895381,0.01271674991585314,0.05860216706059873,2.0,67.00500000000001,0.635,0.912,1.3,1.5,2.45,10.7,32.0,7.0,4.0,23.116883116883102,17.405106970324326
160.0,0.8945000000000001,0.7275,0.069375,0.09762500000000002,3.5,81.33035215204025,7.755729457797653,10.9139183901621,0.01504204189404845,0.06815620791167021,2.0,71.56,0.635,0.912,1.3,1.5,2.45,10.7,36.0,8.0,4.0,32.72727272727272,24.541062801932345
180.0,0.8960555555555557,0.7394444444444445,0.06166666666666668,0.09494444444444444,3.5,82.52216504433008,6.882013764027528,10.59582119164238,0.01638733292929828,0.09048600005917251,2.0,80.64500000000001,0.635,0.912,1.3,1.5,2.45,10.7,40.0,8.0,5.0,40.202020202020186,26.612989801395592
200.0,0.8562,0.71525,0.05550000000000001,0.08545,3.5,83.53772483064705,6.482130343377716,9.98014482597524,0.01933612511493266,0.09234662493690848,2.0,85.61999999999999,0.635,0.912,1.3,1.5,2.45,10.7,45.0,9.0,5.0,46.181818181818166,33.95169082125603
220.0,0.8679090909090909,0.7372727272727272,0.05045454545454546,0.08018181818181819,3.5,84.9481512517021,5.813344506127581,9.238504242170317,0.02063083299435675,0.08475108304992318,2.0,95.47,0.635,0.912,1.3,1.5,2.45,10.7,49.0,10.0,6.0,51.07438016528925,38.02371541501975
240.0,0.8377499999999999,0.7172916666666665,0.04625000000000001,0.07420833333333332,3.5,85.62120759972147,5.520740077588781,8.858052322689744,0.03068420803174376,0.08567012497223914,2.0,100.53,0.635,0.912,1.3,1.5,2.45,10.7,54.0,11.0,6.0,55.15151515151513,42.64090177133656
260.0,0.848,0.7357692307692308,0.0426923076923077,0.06953846153846154,3.5,86.76523947750364,5.034470246734399,8.200290275761974,0.02439183299429715,0.1131542918737978,2.0,110.24,0.635,0.912,1.3,1.5,2.45,10.7,58.0,12.0,7.0,58.60139860139859,46.25046451133408
280.0,0.8460714285714286,0.71875,0.04982142857142857,0.0775,3.5,84.9514563106796,5.8885605740818905,9.159983115238497,0.02653358294628561,0.1597918330226094,3.0,78.96666666666667,0.635,0.912,1.3,1.5,2.45,10.7,63.0,13.0,7.0,51.688311688311686,40.09661835748793
300.0,0.8575333333333335,0.7346666666666667,0.04650000000000001,0.07636666666666667,3.5,85.67208271787295,5.422529736453393,8.905387545673635,0.02814549999311566,0.16060308390297,3.0,85.75333333333334,0.635,0.912,1.3,1.5,2.45,10.7,67.0,14.0,8.0,54.90909090909091,40.972624798711756
320.0,0.839625,0.71984375,0.04359375000000001,0.0761875,3.5,85.73395861247582,5.192050022331399,9.073991365192796,0.02945937495678663,0.1596293330658227,3.0,89.56,0.635,0.912,1.3,1.5,2.45,10.7,72.0,15.0,8.0,57.72727272727272,41.1111111111111
340.0,0.8478823529411764,0.7338235294117647,0.04102941176470588,0.07302941176470587,3.5,86.54780074927154,4.839045372554461,8.613153878173998,0.03136908309534192,0.1592156670521945,3.0,96.09333333333332,0.635,0.912,1.3,1.5,2.45,10.7,76.0,16.0,9.0,60.21390374331551,43.552145495879515
360.0,0.8177222222222224,0.7097222222222223,0.03875000000000001,0.06925,3.5,86.79258101773218,4.738773014471092,8.468645967796725,0.03264379198662937,0.1791861250530928,3.0,98.12666666666668,0.635,0.912,1.3,1.5,2.45,10.7,80.0,16.0,9.0,62.424242424242415,46.47342995169082
380.0,0.8294736842105263,0.7267105263157894,0.03671052631578948,0.06605263157894738,3.5,87.61104060913705,4.425761421319798,7.963197969543148,0.04451566701754928,0.150052374927327,3.0,105.0666666666667,0.635,0.912,1.3,1.5,2.45,10.7,85.0,17.0,10.0,64.40191387559808,48.94482583269768
400.0,0.8097999839266458,0.7115,0.03487499548234126,0.0634249884443045,3.5,87.86120204028677,4.306618445858152,7.832179513855082,0.03689562506042421,0.1450592079199851,2.999999365942633,107.9733540106529,0.635,0.912,1.3,1.5,2.45,10.7,89.0,18.0,10.0,66.18182256257816,50.97585434256657
420.0,0.8371190476190477,0.7267857142857144,0.04000000000000001,0.07033333333333333,3.5,86.81987542307802,4.778292897977758,8.401831678944225,0.03902537515386939,0.3295553338248283,4.0,87.89750000000001,0.635,0.912,1.3,1.5,2.45,10.7,94.0,19.0,11.0,61.212121212121204,45.63607085346215
440.0,0.8197727272727274,0.7129545454545454,0.03818181818181818,0.06863636363636363,3.5,86.96978098142498,4.657610202384253,8.372608816190738,0.04039199999533594,0.3083726249169558,4.0,90.17500000000001,0.635,0.912,1.3,1.5,2.45,10.7,98.0,20.0,11.0,62.97520661157026,46.94773825208608
460.0,0.8322173913043479,0.7268478260869564,0.03652173913043479,0.06884782608695653,3.5,87.33869703777229,4.388485450080978,8.2728175121467,0.04254858288913965,0.207454500021413,4.0,95.70500000000001,0.635,0.912,1.3,1.5,2.45,10.7,103.0,21.0,12.0,64.58498023715413,46.78428901491283
480.0,0.8160833294593038,0.7141666666666666,0.03499999888135929,0.06691666391127796,3.5,87.51148821283212,4.288777581640902,8.199734205526978,0.05331641715019941,0.2208322498481721,3.999999811597354,97.93000414768446,0.635,0.912,1.3,1.5,2.45,10.7,107.0,22.0,12.0,66.06060714534856,48.27697475456776
500.0,0.8252799996879476,0.7269,0.03359999990989367,0.06477999977805389,3.5,88.07919739662336,4.0713454733664225,7.849457130010215,0.0465079159475863,0.2225335838738829,3.999999984191873,103.1600003686851,0.635,0.912,1.3,1.5,2.45,10.7,112.0,23.0,13.0,67.41818190555765,49.92850258701148
520.0,0.8097884615384614,0.7151923076923077,0.03230769230769231,0.06228846153846154,3.5,88.318411740958,3.989645918924696,7.691942340117317,0.04819587501697242,0.2756040419917554,4.0,105.2725,0.635,0.912,1.3,1.5,2.45,10.7,116.0,24.0,13.0,68.67132867132867,51.85432924563358
540.0,0.8112222222222223,0.7196296296296297,0.03111111111111111,0.06048148148148148,3.5,88.70930922704653,3.835091083413231,7.455599689540245,0.04912766604684293,0.2072346669156104,4.0,109.515,0.635,0.912,1.3,1.5,2.45,10.7,120.0,24.0,14.0,69.83164983164983,53.25102880658436
560.0,0.8115714285714285,0.7116964285714285,0.03508928571428571,0.06478571428571428,3.5,87.69362788241506,4.3236226016546375,7.982749515930294,0.06082624988630414,0.4019654160365462,5.0,90.89599999999999,0.635,0.912,1.3,1.5,2.45,10.7,125.0,25.0,14.0,65.97402597402598,49.92408557625949
580.0,0.8186896551724137,0.7201724137931034,0.03387931034482759,0.06463793103448276,3.5,87.96647291719316,4.1382360374020735,7.895291045404769,0.05339345801621675,0.4943942499812692,5.0,94.96799999999999,0.635,0.912,1.3,1.5,2.45,10.7,129.0,26.0,15.0,67.14733542319749,50.0383141762452
600.0,0.8104333333333334,0.71275,0.03275,0.06493333333333334,3.5,87.94677744416566,4.041047999012874,8.012174556821455,0.05560145806521177,0.3874744579661638,5.0,97.25200000000001,0.635,0.912,1.3,1.5,2.45,10.7,134.0,27.0,15.0,68.24242424242424,49.809983896940416
620.0,0.8159032258064517,0.7206451612903226,0.03169354838709677,0.06356451612903226,3.5,88.32483295773534,3.884473965128691,7.790693077135965,0.05737391696311533,0.3475266250316054,5.0,101.172,0.635,0.912,1.3,1.5,2.45,10.7,138.0,28.0,16.0,69.26686217008798,50.86800685678665
640.0,0.8061093750000002,0.7136718750000001,0.030703125,0.061734375,3.5,88.53288364249576,3.808803861138569,7.658312496365643,0.05905524990521371,0.2909254170954227,5.0,103.182,0.635,0.912,1.3,1.5,2.45,10.7,143.0,29.0,16.0,70.22727272727273,52.28260869565218
660.0,0.8109545450587685,0.7210606060604889,0.02977272715847898,0.06012121183980052,3.5,88.91504591151097,3.671318859964142,7.413635228524878,0.06201183306984603,0.291473250137642,4.999999973542499,107.0460005141914,0.635,0.912,1.3,1.5,2.45,10.7,147.0,30.0,17.0,71.12947669480828,53.52949809484018
680.0,0.8021323529411767,0.714485294117647,0.02889705882352941,0.05875,3.5,89.07324227701895,3.6025300210835067,7.324227701897515,0.06331195798702538,0.2632124170195311,5.0,109.09,0.635,0.912,1.3,1.5,2.45,10.7,152.0,31.0,17.0,71.97860962566844,54.589371980676326
